Name,Salary,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Jarrett Allen,20000000,24,CLE,68,9.8,1.7,0.8,1.2,1.4,14.3
Nicolas Batum,19700319,34,LAC,78,3.8,1.6,0.7,0.6,0.6,6.1
Eric Gordon,19568360,34,HOU/LAC,69,1.9,2.7,0.6,0.4,1.5,12.4
Spencer Dinwiddie,19500000,29,BRK/DAL,79,3.4,6.5,0.8,0.3,1.8,17.3
Caris LeVert,18796296,28,CLE,74,3.8,3.9,1.0,0.3,1.6,12.1
Joe Harris,18642857,31,BRK,74,2.2,1.4,0.5,0.2,0.6,7.6
Harrison Barnes,18352273,30,SAC,82,4.5,1.6,0.7,0.1,1.0,15.0
Clint Capela,18206896,28,ATL,65,11.0,0.9,0.7,1.2,0.8,12.0
Evan Fournier,18000000,30,NYK,27,1.8,1.3,0.6,0.1,0.8,6.1
Steven Adams,17926829,29,MEM,42,11.5,2.3,0.9,1.1,1.9,8.6
Jonathan Isaac,17400000,25,ORL,11,4.0,0.5,1.3,0.4,0.4,5.0
OG Anunoby,17357143,25,TOR,67,5.0,2.0,1.9,0.7,2.0,16.8
Marcus Smart,17207142,28,BOS,61,3.1,6.3,1.5,0.4,2.3,11.5
Derrick White,17142857,28,BOS,82,3.6,3.9,0.7,0.9,1.2,12.4
Dejounte Murray,17071120,26,ATL,74,5.3,6.1,1.5,0.3,2.2,20.5
Mitchell Robinson,17045454,24,NYK,59,9.4,0.9,0.9,1.8,0.7,7.4
Duncan Robinson,16902000,28,MIA,42,1.6,1.1,0.3,0.0,0.7,6.4
Norman Powell,16758621,29,LAC,60,2.9,1.8,0.8,0.3,1.7,17.0
Collin Sexton,16700000,24,UTA,48,2.2,2.9,0.6,0.1,1.8,14.3
Markelle Fultz,16500000,24,ORL,60,3.9,5.7,1.5,0.4,2.3,14.0
Lauri Markkanen,16475454,25,UTA,66,8.6,1.9,0.6,0.6,1.9,25.6
Marcus Morris,16372093,33,LAC,65,4.0,1.8,0.6,0.3,0.9,11.2
Malik Beasley,15558035,26,LAL/UTA,81,3.5,1.5,0.8,0.1,1.1,12.7
Luguentz Dort,15277778,23,OKC,74,4.6,2.1,1.0,0.3,1.2,13.7
Will Barton,15059712,32,WAS/TOR,56,2.4,2.0,0.5,0.2,0.9,6.8
