Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1985-07-21,Oh! Calcutta!,Edison Theatre,30099.0,2117,9
1985-07-21,Singin' in the Rain,Gershwin Theatre,199436.0,6715,8
1985-07-21,Sunday in the Park with George,Booth Theatre,121307.0,4645,8
1985-07-21,The Odd Couple,Broadhurst Theatre,165166.0,7165,8
1985-07-21,The Tap Dance Kid,Minskoff Theatre,151474.0,5540,8
1985-07-28,42nd Street,St. James Theatre,298993.0,10260,8
1985-07-28,A Chorus Line,Sam S. Shubert Theatre,221924.0,7818,8
1985-07-28,Arms and the Man,Circle in the Square Theatre,75553.0,3876,8
1985-07-28,As Is,Lyceum Theatre,71798.0,4421,8
1985-07-28,Big River,Eugene O'Neill Theatre,296883.0,8206,8
1985-07-28,Biloxi Blues,Neil Simon Theatre,288256.0,10786,8
1985-07-28,Brighton Beach Memoirs,46th Street Theatre,106670.0,5992,8
1985-07-28,Cats,Winter Garden Theatre,466630.0,12019,8
1985-07-28,Doubles,Ritz Theatre,67931.0,3720,8
1985-07-28,La Cage aux Folles,Palace Theatre,408931.0,11841,8
1985-07-28,Oh! Calcutta!,Edison Theatre,30558.0,2147,9
1985-07-28,Singin' in the Rain,Gershwin Theatre,224685.0,7449,8
1985-07-28,Sunday in the Park with George,Booth Theatre,124033.0,4315,8
1985-07-28,The Odd Couple,Broadhurst Theatre,164469.0,6456,8
1985-07-28,The Tap Dance Kid,Minskoff Theatre,141957.0,5374,8
1985-08-04,42nd Street,St. James Theatre,273645.0,9314,8
1985-08-04,A Chorus Line,Sam S. Shubert Theatre,221873.0,7739,8
1985-08-04,Arms and the Man,Circle in the Square Theatre,52820.0,3157,8
1985-08-04,As Is,Lyceum Theatre,75222.0,4450,8
1985-08-04,Big River,Eugene O'Neill Theatre,292503.0,8120,8
1985-08-04,Biloxi Blues,Neil Simon Theatre,281677.0,10581,8
1985-08-04,Brighton Beach Memoirs,46th Street Theatre,117727.0,6691,8
1985-08-04,Cats,Winter Garden Theatre,496136.0,12031,8
1985-08-04,Doubles,Ritz Theatre,71166.0,3709,8
1985-08-04,La Cage aux Folles,Palace Theatre,380020.0,11000,8
1985-08-04,Oh! Calcutta!,Edison Theatre,37101.0,2604,9
1985-08-04,Singin' in the Rain,Gershwin Theatre,243138.0,8415,8
1985-08-04,Sunday in the Park with George,Booth Theatre,129002.0,4489,8
1985-08-04,The Odd Couple,Broadhurst Theatre,160674.0,6541,8
1985-08-04,The Tap Dance Kid,Minskoff Theatre,166426.0,6570,8
1985-08-11,42nd Street,St. James Theatre,295896.0,10048,8
1985-08-11,A Chorus Line,Sam S. Shubert Theatre,248522.0,8746,8
1985-08-11,Arms and the Man,Circle in the Square Theatre,83452.0,4569,8
1985-08-11,As Is,Lyceum Theatre,74144.0,4246,8
1985-08-11,Big River,Eugene O'Neill Theatre,300266.0,8146,8
1985-08-11,Biloxi Blues,Neil Simon Theatre,290979.0,10786,8
1985-08-11,Brighton Beach Memoirs,46th Street Theatre,115156.0,6170,8
1985-08-11,Cats,Winter Garden Theatre,467829.0,12024,8
1985-08-11,Doubles,Ritz Theatre,77267.0,3602,8
1985-08-11,La Cage aux Folles,Palace Theatre,420820.0,11050,8
1985-08-11,Oh! Calcutta!,Edison Theatre,36843.0,2585,9
1985-08-11,Singin' in the Rain,Gershwin Theatre,254139.0,7683,8
1985-08-11,Sunday in the Park with George,Booth Theatre,158142.0,5731,8
1985-08-11,The Odd Couple,Broadhurst Theatre,167553.0,6529,8
1985-08-11,The Tap Dance Kid,Minskoff Theatre,170247.0,6645,8
1985-08-18,42nd Street,St. James Theatre,347623.0,10416,8
1985-08-18,A Chorus Line,Sam S. Shubert Theatre,285858.0,10023,8
1985-08-18,Arms and the Man,Circle in the Square Theatre,52110.0,2990,8
1985-08-18,As Is,Lyceum Theatre,83119.0,4705,8
1985-08-18,Big River,Eugene O'Neill Theatre,307622.0,8152,8
1985-08-18,Biloxi Blues,Neil Simon Theatre,298553.0,10815,8
1985-08-18,Brighton Beach Memoirs,46th Street Theatre,132770.0,7302,8
1985-08-18,Cats,Winter Garden Theatre,467007.0,12029,8
1985-08-18,Doubles,Ritz Theatre,75758.0,3597,8
1985-08-18,La Cage aux Folles,Palace Theatre,448050.0,12664,8
1985-08-18,Oh! Calcutta!,Edison Theatre,43638.0,3060,9
1985-08-18,Singin' in the Rain,Gershwin Theatre,300251.0,10077,8
1985-08-18,Sunday in the Park with George,Booth Theatre,169714.0,5985,8
1985-08-18,The Odd Couple,Broadhurst Theatre,188292.0,7272,8
1985-08-25,42nd Street,St. James Theatre,341894.0,11754,8
1985-08-25,A Chorus Line,Sam S. Shubert Theatre,275565.0,9918,8
1985-08-25,Arms and the Man,Circle in the Square Theatre,55426.0,3149,8
1985-08-25,As Is,Lyceum Theatre,90086.0,4993,8
1985-08-25,Big River,Eugene O'Neill Theatre,306577.0,8134,8
1985-08-25,Biloxi Blues,Neil Simon Theatre,296460.0,10961,8
1985-08-25,Brighton Beach Memoirs,46th Street Theatre,128344.0,6796,8
1985-08-25,Cats,Winter Garden Theatre,469538.0,12019,8
1985-08-25,Doubles,Ritz Theatre,74070.0,3579,8
1985-08-25,La Cage aux Folles,Palace Theatre,422990.0,11929,8
1985-08-25,Oh! Calcutta!,Edison Theatre,42037.0,2950,9
1985-08-25,Singin' in the Rain,Gershwin Theatre,290986.0,9009,8
1985-08-25,Sunday in the Park with George,Booth Theatre,155738.0,5795,8
1985-08-25,The Odd Couple,Broadhurst Theatre,149422.0,5999,8
1985-09-01,42nd Street,St. James Theatre,343578.0,11475,8
1985-09-01,A Chorus Line,Sam S. Shubert Theatre,254608.0,8896,8
1985-09-01,Arms and the Man,Circle in the Square Theatre,72695.0,3927,8
1985-09-01,As Is,Lyceum Theatre,74598.0,3875,8
1985-09-01,Big River,Eugene O'Neill Theatre,303347.0,8140,8
1985-09-01,Biloxi Blues,Neil Simon Theatre,279943.0,10653,8
1985-09-01,Brighton Beach Memoirs,46th Street Theatre,146256.0,7896,8
1985-09-01,Cats,Winter Garden Theatre,467790.0,11978,8
1985-09-01,Doubles,Ritz Theatre,81971.0,3702,8
1985-09-01,La Cage aux Folles,Palace Theatre,420642.0,11956,8
1985-09-01,Oh! Calcutta!,Edison Theatre,50090.0,3330,9
1985-09-01,Singin' in the Rain,Gershwin Theatre,311262.0,10524,8
1985-09-01,Sunday in the Park with George,Booth Theatre,152527.0,5606,8
1985-09-01,The Odd Couple,Broadhurst Theatre,157782.0,6587,8
1985-09-08,42nd Street,St. James Theatre,219745.0,7251,8
1985-09-08,A Chorus Line,Sam S. Shubert Theatre,172328.0,5868,8
1985-09-08,As Is,Lyceum Theatre,52284.0,2680,8
1985-09-08,Big River,Eugene O'Neill Theatre,252347.0,7342,8
1985-09-08,Biloxi Blues,Neil Simon Theatre,212616.0,7868,8
1985-09-08,Brighton Beach Memoirs,46th Street Theatre,81921.0,4348,8
1985-09-08,Cats,Winter Garden Theatre,467305.0,12009,8
1985-09-08,Doubles,Ritz Theatre,60982.0,2905,8
1985-09-08,La Cage aux Folles,Palace Theatre,350580.0,10427,8
1985-09-08,Oh! Calcutta!,Edison Theatre,39163.0,2746,9
1985-09-08,Singin' in the Rain,Gershwin Theatre,226665.0,7089,8
1985-09-08,Song and Dance,Royale Theatre,118201.0,3684,5
1985-09-08,Sunday in the Park with George,Booth Theatre,117529.0,4123,8
1985-09-08,The Odd Couple,Broadhurst Theatre,102730.0,4033,8
1985-09-15,42nd Street,St. James Theatre,240626.0,7890,8
1985-09-15,A Chorus Line,Sam S. Shubert Theatre,190672.0,6649,8
1985-09-15,As Is,Lyceum Theatre,57567.0,3071,8
1985-09-15,Big River,Eugene O'Neill Theatre,272763.0,7692,8
1985-09-15,Biloxi Blues,Neil Simon Theatre,238743.0,9085,8
1985-09-15,Brighton Beach Memoirs,46th Street Theatre,85020.0,4709,8
1985-09-15,Cats,Winter Garden Theatre,463117.0,11995,8
1985-09-15,Doubles,Ritz Theatre,55243.0,2908,8
1985-09-15,La Cage aux Folles,Palace Theatre,389388.0,11256,8
1985-09-15,Oh! Calcutta!,Edison Theatre,40246.0,2824,8
1985-09-15,Singin' in the Rain,Gershwin Theatre,275355.0,8832,8
1985-09-15,Song and Dance,Royale Theatre,195023.0,5746,7
1985-09-15,Sunday in the Park with George,Booth Theatre,116763.0,4377,8
1985-09-15,The Odd Couple,Broadhurst Theatre,157974.0,5796,8
1985-09-15,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,66360.0,5172,5
1985-09-22,42nd Street,St. James Theatre,249334.0,7949,8
1985-09-22,A Chorus Line,Sam S. Shubert Theatre,189860.0,6405,8
1985-09-22,As Is,Lyceum Theatre,58712.0,3113,8
1985-09-22,Big River,Eugene O'Neill Theatre,259864.0,7455,8
1985-09-22,Biloxi Blues,Neil Simon Theatre,219835.0,8509,8
1985-09-22,Brighton Beach Memoirs,46th Street Theatre,94672.0,5147,8
1985-09-22,Cats,Winter Garden Theatre,462405.0,12010,8
1985-09-22,Doubles,Ritz Theatre,59989.0,3060,8
1985-09-22,La Cage aux Folles,Palace Theatre,387328.0,11215,8
1985-09-22,Oh! Calcutta!,Edison Theatre,38768.0,2721,9
1985-09-22,Singin' in the Rain,Gershwin Theatre,261078.0,8441,8
1985-09-22,Song and Dance,Royale Theatre,209244.0,5643,7
1985-09-22,Sunday in the Park with George,Booth Theatre,117653.0,4244,8
1985-09-22,The Iceman Cometh,Lunt-Fontanne Theatre,45466.0,2838,2
1985-09-22,The Marriage of Figaro,Circle in the Square Theatre,9840.0,1204,3
1985-09-22,The Odd Couple,Broadhurst Theatre,147614.0,5373,8
1985-09-22,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,146548.0,7774,7
1985-09-29,42nd Street,St. James Theatre,233486.0,7540,8
1985-09-29,A Chorus Line,Sam S. Shubert Theatre,174957.0,5883,8
1985-09-29,As Is,Lyceum Theatre,52968.0,3284,8
1985-09-29,Big River,Eugene O'Neill Theatre,265438.0,7639,8
1985-09-29,Biloxi Blues,Neil Simon Theatre,204844.0,7883,8
1985-09-29,Brighton Beach Memoirs,46th Street Theatre,89105.0,4948,8
1985-09-29,Cats,Winter Garden Theatre,469036.0,11991,8
1985-09-29,Doubles,Ritz Theatre,54781.0,2804,8
1985-09-29,La Cage aux Folles,Palace Theatre,379031.0,10919,8
1985-09-29,Oh! Calcutta!,Edison Theatre,34680.0,2435,9
1985-09-29,Singin' in the Rain,Gershwin Theatre,283242.0,9494,8
1985-09-29,Song and Dance,Royale Theatre,259453.0,7913,8
1985-09-29,Sunday in the Park with George,Booth Theatre,112888.0,4110,8
1985-09-29,The Iceman Cometh,Lunt-Fontanne Theatre,94939.0,5953,6
1985-09-29,The Marriage of Figaro,Circle in the Square Theatre,41424.0,2813,8
1985-09-29,The Odd Couple,Broadhurst Theatre,137665.0,5167,8
1985-09-29,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,161547.0,6930,7
1985-10-06,42nd Street,St. James Theatre,262310.0,8294,8
1985-10-06,A Chorus Line,Sam S. Shubert Theatre,192262.0,6238,8
1985-10-06,As Is,Lyceum Theatre,64462.0,3926,8
1985-10-06,Big River,Eugene O'Neill Theatre,286174.0,7782,8
1985-10-06,Biloxi Blues,Neil Simon Theatre,231213.0,8684,8
1985-10-06,Brighton Beach Memoirs,46th Street Theatre,109125.0,5973,8
1985-10-06,Cats,Winter Garden Theatre,459265.0,11974,8
1985-10-06,Doubles,Ritz Theatre,56034.0,2756,8
1985-10-06,La Cage aux Folles,Palace Theatre,368987.0,10949,8
1985-10-06,Oh! Calcutta!,Edison Theatre,39122.0,2743,9
1985-10-06,Singin' in the Rain,Gershwin Theatre,307953.0,10140,8
1985-10-06,Song and Dance,Royale Theatre,291915.0,8302,8
1985-10-06,Sunday in the Park with George,Booth Theatre,131764.0,4573,8
1985-10-06,The Iceman Cometh,Lunt-Fontanne Theatre,152720.0,7274,6
1985-10-06,The Marriage of Figaro,Circle in the Square Theatre,53766.0,3463,8
1985-10-06,The Odd Couple,Broadhurst Theatre,162622.0,5999,8
1985-10-06,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,195388.0,7961,8
1985-10-13,42nd Street,St. James Theatre,321796.0,10084,8
1985-10-13,A Chorus Line,Sam S. Shubert Theatre,231773.0,7619,8
1985-10-13,As Is,Lyceum Theatre,73305.0,4298,8
1985-10-13,Big River,Eugene O'Neill Theatre,303231.0,8110,8
1985-10-13,Biloxi Blues,Neil Simon Theatre,236626.0,8558,8
1985-10-13,Brighton Beach Memoirs,46th Street Theatre,134621.0,7005,8
1985-10-13,Cats,Winter Garden Theatre,456407.0,12004,8
1985-10-13,Doubles,Ritz Theatre,86379.0,4222,8
1985-10-13,La Cage aux Folles,Palace Theatre,408678.0,11606,8
